Q1_AgeBracket,Q2_HouseholdSize,Q3_DietStyle,Q4_ExerciseFreq,Q5_EcoPriority,Q6_OrdersPerWeek,Q7_OrderWindows,Q8_AvgSpendAED,Q9_TipPct,Q10_DeliveryRadiusKm,Q11_FavCuisines,Q12_SpiceLevel,Q13_AllergyFlag,Q14_PackagingSustainScore,Q15_TraceabilityInterest,Q16_MealConfiguratorUse,Q17_DynamicPricingOpinion,Q18_ZeroWasteSubscription,Q19_LoyaltyPerk,Q20_FreshnessAlertsValue,Q21_GroupCartUsage,Q22_NetPromoterScore,Q23_ChurnIntent
3,1,2,3,2,2,Breakfast,33.26,8.2,1.1,Japanese,2,1,3,4,3,2,1,2,2,1,10,4
4,1,2,3,4,2,"Dinner,Lunch",47.51,6.3,6.7,"Thai,Japanese",2,1,3,4,2,3,1,1,4,2,10,4
6,4,4,3,5,2,"Dinner,Late-night,Breakfast",95.63,9.3,7.0,"Japanese,Other",3,0,5,5,3,2,0,2,5,5,7,4
3,3,5,3,2,3,"Breakfast,Lunch",48.66,11.2,4.9,"Other,Mediterranean",1,0,1,3,3,4,1,4,3,3,3,2
1,1,5,3,1,2,"Breakfast,Dinner,Lunch",59.45,6.0,5.6,"Other,Mexican",3,1,2,3,4,4,0,1,3,3,5,3
2,1,6,3,4,6,"Breakfast,Dinner",46.27,0.0,5.8,"Mexican,Thai",3,1,5,3,3,4,2,1,2,2,7,5
2,2,6,1,4,3,"Lunch,Breakfast",22.15,2.2,5.0,"Japanese,Mexican,Mediterranean,Indian",4,0,3,2,4,1,2,3,4,3,8,4
5,1,5,4,4,1,"Lunch,Late-night",87.98,8.8,2.8,"Mexican,Indian,Other",2,0,4,3,3,3,2,2,5,3,10,5
4,5,1,2,4,1,"Lunch,Breakfast,Late-night",26.32,14.4,3.9,"Japanese,Other",3,0,5,1,4,4,0,2,4,4,4,2
5,2,3,3,4,1,"Dinner,Late-night,Lunch",28.87,14.3,4.7,Mediterranean,2,0,3,3,3,4,0,4,4,1,7,4
3,1,3,1,2,3,Late-night,41.7,14.7,6.6,"Other,Indian,Japanese,Mediterranean",2,0,2,1,5,3,0,1,4,4,5,4
3,1,3,1,4,2,Breakfast,86.38,12.6,7.3,"Thai,Japanese,Indian,Mediterranean",1,0,5,4,3,4,1,2,3,3,4,4
3,3,2,2,4,1,"Late-night,Breakfast,Dinner",35.04,12.6,8.2,Mexican,2,0,5,4,1,4,2,2,3,3,7,3
4,3,1,2,4,3,Lunch,76.1,16.6,2.3,"Mexican,Other,Mediterranean",1,0,3,5,4,3,1,3,4,4,5,4
3,4,6,1,4,3,Late-night,86.28,8.7,7.8,"Mexican,Japanese,Thai,Mediterranean",3,0,5,3,3,3,2,1,3,1,10,5
5,4,3,3,4,2,"Breakfast,Dinner",58.97,11.2,5.8,Indian,1,0,5,3,4,4,1,1,4,4,4,3
3,2,1,2,5,1,Dinner,41.97,14.2,3.3,"Mediterranean,Other,Japanese,Indian",1,0,5,5,3,3,0,2,3,4,5,2
4,3,3,1,3,3,"Dinner,Lunch",42.26,3.3,4.9,"Indian,Mediterranean,Other,Thai",2,0,3,5,4,2,1,3,2,4,6,4
2,2,6,4,3,2,"Breakfast,Late-night,Lunch",57.64,13.9,6.7,Japanese,2,0,3,4,5,3,1,1,3,3,2,4
6,1,1,2,2,1,"Late-night,Breakfast,Lunch",38.42,7.2,6.3,Indian,1,1,3,4,3,3,0,4,3,2,3,2
5,4,1,2,4,1,"Breakfast,Lunch,Late-night",66.55,9.4,3.5,Other,2,0,5,5,2,4,0,4,4,2,5,2
4,2,2,4,3,2,"Lunch,Breakfast",49.46,10.2,7.7,"Other,Mexican,Thai",3,0,2,4,4,2,1,3,3,3,9,3
4,3,6,4,1,3,"Breakfast,Dinner",81.41,14.0,8.7,Mexican,4,1,1,2,3,5,0,2,2,2,3,1
3,3,1,2,4,1,"Lunch,Dinner",34.96,10.6,8.2,"Indian,Mediterranean,Mexican,Other",1,0,3,5,3,1,2,2,4,5,6,5
4,4,1,1,2,2,"Dinner,Lunch",59.39,10.9,4.8,"Mexican,Thai,Other,Indian",3,0,3,3,5,1,1,3,4,2,10,3
5,4,6,4,2,5,"Lunch,Late-night",76.22,5.9,4.0,"Thai,Mediterranean,Japanese",1,0,3,3,2,2,0,1,3,2,5,5
3,2,6,2,4,4,Dinner,24.21,12.1,6.5,"Mediterranean,Japanese,Other",2,0,4,4,4,4,2,2,2,4,5,5
3,3,1,2,4,2,Late-night,99.41,10.6,3.4,"Mediterranean,Thai",1,0,3,3,2,3,2,4,4,4,6,4
6,1,3,1,2,6,"Breakfast,Lunch,Dinner",167.32,10.3,8.3,"Mexican,Indian,Other",1,0,1,4,4,4,0,4,4,2,5,2
2,3,5,2,5,4,Late-night,40.05,11.0,5.2,"Thai,Indian,Mediterranean",2,0,5,3,3,3,1,4,3,1,8,3
3,3,6,3,1,2,Breakfast,51.09,3.6,5.4,"Thai,Japanese,Mediterranean,Indian",3,1,1,1,5,4,0,1,5,1,4,3
4,2,1,1,2,1,"Breakfast,Late-night",38.49,12.7,4.4,"Indian,Other",3,0,1,3,2,4,0,4,4,3,5,2
6,1,2,2,3,3,Late-night,59.37,10.5,8.5,"Mediterranean,Thai,Indian,Japanese",2,0,2,3,2,5,1,1,4,3,10,3
5,2,1,3,3,2,Late-night,74.5,10.5,4.7,Mexican,3,0,2,4,3,3,0,2,3,3,7,5
3,2,3,4,4,2,Dinner,46.91,16.0,1.5,Other,3,0,5,3,3,3,2,3,3,2,9,5
2,2,4,3,5,3,"Dinner,Breakfast,Late-night",88.02,13.1,6.3,Indian,2,0,4,4,3,4,2,3,3,3,6,5
2,1,6,3,3,7,"Breakfast,Dinner,Lunch",52.58,11.6,4.5,Indian,1,0,4,2,5,3,1,2,3,1,6,3
2,2,1,1,3,2,Late-night,110.7,7.4,6.1,"Mexican,Thai,Indian,Japanese",2,0,4,4,1,4,1,1,4,5,7,5
2,4,3,3,3,1,"Lunch,Breakfast",67.07,5.3,10.4,"Mexican,Thai,Mediterranean,Japanese",1,0,4,3,4,3,1,1,4,3,5,5
4,2,1,1,2,7,"Breakfast,Dinner",57.93,11.7,2.5,"Japanese,Thai,Indian",3,0,3,4,4,5,0,4,4,3,6,5
2,3,1,1,2,2,"Lunch,Dinner",55.48,1.6,6.4,"Mediterranean,Thai,Japanese,Indian",3,0,2,5,4,1,0,1,3,2,6,5
6,2,6,4,4,2,Dinner,49.63,7.8,6.8,"Mediterranean,Thai,Mexican,Indian",4,0,5,3,4,2,2,2,5,4,6,5
5,3,1,3,2,3,Lunch,89.86,5.4,8.9,Indian,2,0,2,2,4,3,1,2,3,3,6,4
4,3,4,2,3,2,"Breakfast,Late-night",88.44,10.4,4.1,"Thai,Mediterranean",2,0,4,3,4,1,0,2,3,1,7,4
4,3,1,1,2,7,"Late-night,Breakfast,Dinner",34.7,9.5,6.8,"Mexican,Indian",2,0,1,2,4,5,2,3,4,2,9,5
2,3,1,2,3,2,"Breakfast,Lunch",16.42,6.7,7.4,"Other,Indian",2,0,4,4,3,2,0,4,3,3,4,1
4,4,1,1,2,5,"Late-night,Lunch",119.3,0.0,6.7,"Thai,Mediterranean,Indian,Other",2,0,3,4,3,3,1,1,2,4,6,3
3,3,6,3,4,2,"Breakfast,Lunch,Late-night",71.49,16.0,6.0,Indian,1,1,5,4,4,3,2,4,3,1,6,5
4,1,5,2,2,4,Dinner,62.06,4.4,3.9,"Japanese,Mediterranean,Thai,Other",2,1,2,4,3,4,2,1,3,1,9,4
3,3,3,2,5,1,"Late-night,Dinner,Breakfast",63.43,15.0,8.5,"Mediterranean,Indian,Other",3,0,5,5,2,3,2,2,3,4,6,5
4,2,1,1,3,2,"Late-night,Lunch",71.4,6.3,7.5,"Indian,Other,Mediterranean",3,0,3,3,4,3,0,1,5,5,6,3
5,2,1,1,2,3,"Lunch,Late-night,Dinner",58.35,9.3,6.0,"Other,Indian,Thai",1,0,2,3,3,3,1,4,3,1,7,3
2,1,1,1,2,6,"Breakfast,Lunch,Late-night",44.39,1.8,7.3,"Other,Indian,Thai,Mexican",1,1,2,4,3,5,2,4,2,2,3,3
3,4,1,1,1,1,"Breakfast,Lunch,Dinner",73.98,10.4,7.0,"Japanese,Mediterranean,Other,Thai",1,0,1,2,5,5,0,1,1,1,1,2
5,1,1,1,3,1,"Dinner,Breakfast,Late-night",83.31,9.7,5.0,Mediterranean,1,0,3,5,4,3,0,2,3,2,6,4
3,2,2,3,2,2,"Late-night,Breakfast",47.29,12.0,9.2,Mediterranean,1,0,3,5,2,3,0,1,4,2,7,4
4,1,3,2,3,4,"Late-night,Breakfast",65.22,10.3,5.4,Indian,3,0,2,2,2,2,0,3,3,2,4,2
2,2,1,1,3,2,Breakfast,95.66,14.8,8.9,"Indian,Mexican,Mediterranean",3,1,4,1,3,2,0,1,4,1,6,3
3,2,1,1,3,1,"Breakfast,Dinner,Lunch",80.15,9.0,7.3,"Indian,Japanese,Other,Mexican",3,0,3,3,4,3,2,1,3,3,10,5
2,1,1,1,3,1,"Late-night,Dinner,Lunch",70.12,13.4,1.0,"Thai,Indian,Japanese",2,0,4,4,3,3,0,1,2,5,3,2
3,2,1,1,2,5,"Dinner,Breakfast",99.42,10.3,5.4,"Mexican,Indian,Thai",3,0,1,4,3,3,1,2,3,4,10,4
4,2,2,2,3,1,"Breakfast,Dinner,Late-night",34.44,12.0,4.6,"Thai,Other,Indian,Mediterranean",2,0,2,3,3,3,1,4,5,2,7,4
2,1,1,1,4,2,"Breakfast,Late-night",68.17,9.1,7.2,Mediterranean,1,0,4,3,1,2,2,3,3,1,6,5
3,2,1,1,4,1,Late-night,37.78,13.8,6.3,"Japanese,Indian",4,0,4,4,1,3,0,3,2,2,5,3
2,1,3,3,3,1,"Late-night,Lunch",82.08,14.1,10.8,"Mexican,Indian,Mediterranean",2,1,4,5,5,2,0,2,3,3,9,3
5,3,2,2,2,1,"Breakfast,Dinner",133.87,10.1,5.3,"Mexican,Indian",3,0,2,5,2,2,0,4,2,2,8,4
4,4,1,1,3,2,Late-night,106.92,15.8,3.7,"Indian,Other,Thai",3,0,4,3,3,3,1,3,4,1,3,5
3,3,3,2,2,4,"Dinner,Late-night",122.48,3.5,7.0,"Indian,Thai,Other,Mexican",2,1,1,4,3,4,1,2,4,2,8,3
4,3,2,3,2,1,"Breakfast,Dinner,Late-night",73.85,16.9,7.0,"Mexican,Indian,Other,Mediterranean",4,0,1,3,3,4,1,1,4,4,0,3
3,3,2,2,3,3,"Breakfast,Dinner",48.3,3.8,5.2,"Other,Indian,Mediterranean",2,0,3,5,4,3,0,3,4,4,6,3
4,3,1,1,2,1,"Lunch,Late-night,Dinner",45.12,11.5,9.1,Indian,3,0,3,4,2,4,0,2,4,4,3,2
3,4,3,3,4,1,"Lunch,Late-night",28.56,7.5,4.6,"Other,Thai,Japanese",1,0,5,4,4,1,2,1,3,3,6,4
3,1,5,1,1,5,Late-night,86.82,10.7,9.9,"Japanese,Other,Indian,Mediterranean",2,0,2,4,2,3,0,3,4,1,6,4
4,1,2,4,3,1,Dinner,41.17,10.7,4.5,"Thai,Japanese,Indian,Other",3,0,3,2,2,2,0,1,2,3,5,4
2,3,2,1,4,1,"Lunch,Dinner,Breakfast",85.73,9.7,6.8,"Mediterranean,Indian",3,0,4,3,4,4,1,3,5,3,7,3
2,2,2,3,3,5,"Late-night,Lunch",30.99,12.8,5.2,"Thai,Mediterranean",2,0,4,4,4,3,0,2,3,4,4,2
5,1,2,1,4,3,"Late-night,Breakfast,Dinner",44.25,0.0,6.3,"Other,Indian,Japanese",1,1,3,3,5,1,2,3,5,1,10,4
2,2,1,1,4,4,"Late-night,Dinner,Lunch",24.74,8.3,9.1,"Japanese,Other,Thai",2,0,3,1,4,3,1,3,3,2,5,4
2,3,1,3,3,3,Lunch,66.35,12.0,3.8,"Japanese,Thai",2,0,4,4,3,3,0,3,4,3,9,2
5,2,2,1,3,1,"Dinner,Lunch",55.13,1.0,3.3,"Mediterranean,Indian,Other",2,0,4,1,2,3,1,3,4,3,9,4
4,1,1,1,5,1,Late-night,96.44,14.9,6.1,"Other,Mediterranean,Thai",3,0,5,3,3,3,2,3,3,1,8,4
4,1,5,1,4,3,Lunch,36.82,9.1,1.9,Mediterranean,2,0,5,4,5,1,2,2,5,2,6,4
2,2,6,2,4,2,"Breakfast,Dinner",33.9,6.2,3.9,Indian,2,0,3,1,4,3,2,2,3,4,8,5
4,2,6,3,3,3,"Dinner,Late-night",76.46,11.7,7.7,Mexican,3,0,4,2,4,4,0,2,4,1,6,2
4,1,6,3,2,2,"Lunch,Late-night,Breakfast",58.74,8.7,10.0,Other,2,0,1,4,2,4,1,3,3,2,7,3
6,2,2,1,2,3,"Dinner,Breakfast",49.07,7.5,7.6,"Indian,Thai,Other,Mediterranean",3,1,3,3,2,2,1,1,2,1,3,5
2,1,1,2,4,2,"Breakfast,Late-night,Dinner",38.87,13.8,7.1,"Other,Mediterranean,Thai",2,0,3,3,2,3,2,2,4,1,6,3
3,2,5,2,3,5,"Late-night,Lunch",44.05,6.8,4.6,"Indian,Other",2,1,3,3,3,3,0,1,4,5,5,4
3,1,2,2,3,1,"Late-night,Lunch,Breakfast",79.1,10.9,5.2,"Japanese,Mediterranean",1,0,4,4,4,2,1,4,2,1,3,5
2,1,2,1,3,1,"Dinner,Lunch,Late-night",44.91,11.5,6.8,"Other,Thai,Japanese,Mediterranean",3,0,3,3,3,4,1,4,2,3,6,4
4,2,1,1,2,1,"Lunch,Breakfast,Dinner",145.04,7.6,9.5,Mediterranean,2,0,3,4,3,3,0,1,3,2,4,3
2,2,3,2,3,6,"Lunch,Breakfast,Late-night",36.08,8.9,1.0,"Other,Thai",3,1,2,5,2,2,1,2,3,1,6,3
2,4,4,1,4,5,"Late-night,Lunch",19.81,10.2,7.2,"Other,Mediterranean",1,0,4,3,4,1,0,4,2,2,7,5
6,3,1,1,3,4,"Breakfast,Dinner,Late-night",86.65,9.9,4.5,"Mediterranean,Mexican",3,1,4,2,2,2,0,4,5,4,5,3
5,4,4,4,5,1,"Lunch,Late-night,Breakfast",88.59,15.0,7.0,"Mexican,Thai,Mediterranean",2,1,5,3,3,2,1,2,4,2,8,3
5,2,1,1,3,1,Lunch,67.12,5.1,6.5,"Indian,Thai,Other",2,0,4,3,4,3,2,2,4,1,8,2
5,3,1,2,4,3,"Late-night,Lunch",574.36,12.8,8.7,"Mediterranean,Thai,Japanese,Mexican",2,0,3,3,2,2,0,4,2,3,8,5
3,2,2,3,4,3,"Dinner,Late-night,Lunch",17.1,16.6,8.3,"Indian,Thai,Mediterranean,Other",1,1,4,5,3,1,2,1,3,3,7,3
3,3,1,3,2,2,"Dinner,Breakfast",67.46,9.8,4.9,"Mediterranean,Thai,Mexican,Other",2,0,2,2,4,4,0,4,2,1,8,4
2,2,6,2,3,2,"Breakfast,Late-night,Dinner",61.66,9.6,6.2,"Mexican,Japanese,Thai,Indian",1,0,4,1,4,3,1,2,4,3,6,4
3,3,2,3,4,2,"Breakfast,Dinner,Late-night",41.46,15.2,5.4,"Mexican,Other,Indian,Japanese",1,0,4,2,3,2,2,1,5,2,4,4
4,2,5,3,2,8,Late-night,29.75,15.4,6.4,"Mexican,Japanese",2,0,2,3,3,4,2,3,5,1,9,5
2,1,1,1,2,9,"Late-night,Lunch",71.37,7.0,8.3,Other,2,0,1,3,3,2,0,1,3,1,5,2
3,2,1,1,3,2,"Late-night,Breakfast",43.44,9.4,5.1,"Other,Japanese,Mediterranean,Thai",2,0,4,3,3,3,1,2,5,1,6,3
5,1,6,3,2,5,"Breakfast,Late-night,Dinner",38.97,6.5,6.7,"Japanese,Mexican,Indian,Thai",3,0,3,2,5,5,0,2,4,3,7,4
4,3,2,4,3,1,Dinner,87.98,10.6,10.0,Mexican,2,1,2,2,3,2,1,2,3,3,10,4
5,2,1,2,3,2,Dinner,71.86,16.9,6.3,"Mediterranean,Japanese,Mexican,Other",2,0,3,4,3,2,1,4,3,3,9,4
4,3,6,3,4,1,Breakfast,150.39,13.8,5.2,"Indian,Mediterranean",2,0,3,5,5,5,2,4,3,1,3,5
2,1,1,1,5,7,"Breakfast,Dinner",71.4,9.4,8.5,"Japanese,Thai,Mexican,Mediterranean",2,1,4,4,2,3,0,4,3,2,4,2
3,1,3,2,4,3,"Breakfast,Late-night,Lunch",92.54,9.7,6.5,"Japanese,Mediterranean,Other",1,1,3,4,2,4,2,2,4,1,6,2
4,2,1,4,2,1,"Dinner,Breakfast",109.5,6.8,9.3,"Mexican,Thai,Indian,Mediterranean",3,1,3,4,3,4,1,2,2,1,5,4
5,3,2,1,3,1,"Lunch,Breakfast",40.53,14.3,5.6,"Other,Mexican,Mediterranean",1,0,2,2,2,3,0,1,2,3,5,3
5,2,4,1,5,3,"Breakfast,Dinner",70.85,0.0,8.1,Mexican,1,1,4,3,3,4,1,1,3,1,8,3
5,2,4,2,4,4,Lunch,63.08,7.4,10.4,"Mexican,Mediterranean,Japanese",1,0,5,4,3,1,1,4,2,5,9,3
2,2,2,2,4,3,"Dinner,Late-night",47.97,10.3,5.9,"Mexican,Mediterranean,Japanese,Other",3,0,3,4,3,1,1,3,4,4,6,2
3,4,1,2,4,3,"Breakfast,Lunch",139.69,13.5,4.8,"Other,Thai",2,1,4,2,3,3,1,4,4,5,7,2
5,3,3,1,4,2,"Lunch,Late-night,Dinner",41.32,3.3,4.1,"Japanese,Mediterranean",2,1,4,3,5,3,0,3,4,1,8,4
2,1,2,2,3,1,Dinner,32.09,16.6,7.1,Japanese,1,0,2,4,4,3,0,3,5,4,5,3
4,3,3,3,5,3,"Late-night,Breakfast",32.34,8.4,6.9,Indian,1,0,5,5,4,3,1,2,4,4,7,3
2,3,6,3,2,4,"Lunch,Late-night,Dinner",35.37,5.3,7.7,Thai,2,0,2,2,4,3,0,4,4,1,6,3
4,3,3,1,5,1,"Breakfast,Dinner,Late-night",80.97,17.5,5.8,"Mexican,Indian,Thai,Mediterranean",2,1,4,1,2,3,2,1,3,5,8,4
6,3,1,1,3,1,"Lunch,Dinner",98.39,9.0,7.6,"Indian,Japanese,Thai,Mediterranean",2,0,3,5,3,2,1,4,3,2,5,5
4,3,3,2,4,3,"Breakfast,Late-night,Lunch",22.78,11.8,5.6,"Mediterranean,Other",1,0,5,3,3,4,1,3,3,1,3,3
6,5,1,1,4,4,"Lunch,Breakfast",133.16,10.7,8.9,"Indian,Other",2,1,4,4,3,4,1,3,3,2,4,3
4,1,5,2,4,2,Breakfast,56.21,7.1,8.2,"Japanese,Other,Mexican",2,0,5,3,5,3,2,2,4,2,5,5
4,4,1,1,4,4,"Dinner,Late-night,Breakfast",67.52,12.5,5.6,Thai,3,0,5,5,3,3,2,1,4,2,5,5
4,1,5,1,4,3,Late-night,86.74,13.7,8.2,"Indian,Other,Mexican,Japanese",2,1,4,3,3,3,1,3,3,3,8,4
4,2,1,1,2,2,"Dinner,Breakfast,Lunch",64.17,14.1,8.5,"Thai,Other",3,1,1,2,5,2,1,1,4,3,7,4
4,3,1,1,5,3,"Lunch,Breakfast,Dinner",39.04,13.7,4.0,"Japanese,Mediterranean,Indian",2,1,4,4,4,1,2,2,3,1,10,4
2,2,3,2,3,1,"Late-night,Lunch",53.13,11.6,5.6,"Thai,Other,Indian",2,0,4,3,4,3,1,2,3,3,9,5
3,2,2,3,3,7,"Dinner,Breakfast,Lunch",150.37,15.9,5.5,"Japanese,Mexican,Other,Thai",2,0,2,5,1,4,1,1,3,1,4,4
3,2,1,2,2,1,"Late-night,Lunch",57.62,3.9,5.5,"Japanese,Mediterranean,Indian",2,0,2,1,3,2,0,2,4,1,7,4
3,3,4,2,4,5,"Late-night,Breakfast",62.72,10.7,7.4,Thai,2,1,5,4,1,3,1,4,3,4,4,5
5,4,6,3,3,3,"Breakfast,Late-night",153.37,8.6,6.7,"Other,Japanese,Indian",2,0,2,2,4,4,1,1,2,3,4,4
4,3,2,2,3,1,Dinner,70.53,16.1,5.6,"Japanese,Mexican,Indian,Other",4,1,4,4,1,4,0,1,3,1,5,3
4,2,5,1,5,2,"Breakfast,Dinner",106.97,6.8,5.0,Japanese,3,0,4,3,2,4,2,4,3,2,8,5
3,1,3,2,3,3,Late-night,65.51,11.6,2.6,"Indian,Mexican",3,0,2,3,3,4,0,3,2,1,7,5
3,1,3,1,4,3,"Lunch,Late-night",71.01,5.2,5.4,"Mediterranean,Indian",4,1,4,2,3,4,1,1,4,5,8,3
4,3,5,1,2,2,"Breakfast,Late-night",52.03,5.6,7.5,"Thai,Indian",3,0,3,4,2,2,1,4,1,1,3,3
2,5,5,1,4,1,"Breakfast,Late-night,Lunch",49.2,14.9,4.9,"Other,Indian,Mexican",2,0,3,4,3,4,2,1,3,2,4,4
3,5,1,1,5,2,Lunch,69.31,9.3,1.0,Thai,1,0,5,3,2,3,1,3,4,5,6,3
2,3,1,1,1,1,"Dinner,Late-night,Lunch",28.46,8.6,2.2,"Indian,Other,Mediterranean,Mexican",2,0,2,4,4,2,1,3,4,4,7,3
4,2,1,1,4,1,"Late-night,Dinner,Breakfast",42.47,8.7,6.7,"Other,Japanese,Mediterranean,Indian",2,0,5,2,4,3,1,2,2,3,7,5
1,2,5,3,3,3,"Lunch,Late-night",40.13,11.2,8.1,Mediterranean,2,0,4,2,5,4,0,3,4,2,6,2
4,1,1,1,3,4,"Late-night,Dinner,Breakfast",58.76,13.6,7.2,Thai,2,0,4,4,3,3,1,3,5,1,7,5
5,2,1,1,3,1,Lunch,110.48,10.6,6.5,"Indian,Japanese,Thai,Mexican",4,0,3,3,3,3,2,2,3,5,7,4
3,2,5,2,2,2,Dinner,57.53,9.6,8.4,"Mediterranean,Thai,Mexican",2,1,2,4,4,3,1,1,4,3,6,3
4,4,4,2,3,3,Lunch,64.47,9.0,4.2,"Mexican,Other",2,0,2,2,4,4,1,1,4,3,8,4
6,2,6,3,5,1,Dinner,69.21,10.4,7.8,"Thai,Other",3,0,5,3,5,4,1,2,2,4,7,5
5,2,1,1,3,3,"Lunch,Breakfast",27.52,13.7,4.0,Other,2,1,2,4,4,4,1,1,2,4,4,3
2,1,1,1,2,3,Dinner,87.13,7.4,7.0,"Mexican,Mediterranean",1,0,3,3,3,2,1,2,3,1,0,5
2,1,4,1,4,5,"Dinner,Lunch",46.23,9.4,6.8,"Mediterranean,Japanese",3,0,3,3,3,3,2,1,5,3,6,3
4,1,1,1,2,2,"Lunch,Dinner,Late-night",33.69,8.5,3.6,Japanese,3,1,3,4,2,3,0,1,4,1,5,1
4,2,5,2,3,2,"Dinner,Late-night,Breakfast",57.92,11.1,4.3,"Mexican,Thai,Mediterranean,Japanese",3,0,2,4,3,4,0,2,3,4,4,3
3,4,2,2,4,3,Lunch,46.17,12.3,2.7,"Thai,Mexican",2,1,4,4,2,5,0,2,2,3,2,4
4,3,2,2,2,1,"Dinner,Breakfast,Late-night",107.34,10.9,5.3,"Japanese,Mexican",2,0,1,3,2,4,0,1,4,5,9,3
3,2,6,3,5,1,"Breakfast,Late-night",52.74,8.6,1.5,Thai,3,0,5,5,3,3,0,2,3,3,4,4
3,1,2,3,4,1,"Late-night,Lunch",77.19,12.4,3.8,"Indian,Japanese,Thai,Mexican",3,0,3,4,4,4,2,1,3,2,8,5
3,2,6,3,3,3,"Breakfast,Late-night,Lunch",69.76,19.6,6.0,"Mediterranean,Mexican,Other",4,0,3,4,3,2,1,1,3,4,5,5
3,1,1,4,4,4,"Late-night,Lunch,Breakfast",60.16,16.0,6.7,"Mediterranean,Indian",2,0,4,4,4,4,2,1,5,4,6,5
3,2,2,1,5,1,Late-night,71.9,5.8,7.3,"Mediterranean,Japanese,Mexican,Thai",1,0,5,4,2,4,2,2,3,3,7,4
5,2,4,2,4,2,"Lunch,Breakfast,Late-night",52.93,16.1,6.6,"Thai,Mediterranean",1,0,3,5,4,4,1,2,3,3,4,5
5,2,1,3,3,3,Lunch,52.06,15.6,6.1,"Indian,Mexican,Thai",1,1,3,3,3,2,1,3,4,1,7,5
3,1,1,1,4,4,Dinner,25.72,0.8,7.0,Mexican,1,0,5,1,2,1,1,3,4,2,8,3
4,1,1,1,3,7,Late-night,40.25,14.4,8.1,"Indian,Japanese,Mediterranean,Thai",3,0,2,3,4,4,0,2,3,4,5,3
4,3,5,1,3,3,"Lunch,Late-night",40.46,10.0,8.0,"Mexican,Other",4,1,4,5,1,3,0,3,3,5,8,3
3,1,3,1,2,1,"Lunch,Dinner,Breakfast",79.55,16.0,6.9,Japanese,3,0,3,2,2,2,0,4,5,5,7,3
5,4,1,1,3,2,Late-night,59.33,11.1,7.7,"Other,Mediterranean,Japanese,Indian",1,0,3,3,2,4,0,1,3,3,5,4
5,4,1,3,4,3,Lunch,29.1,0.8,11.9,Mexican,3,0,5,2,1,1,2,2,4,4,8,4
4,1,4,2,3,1,"Lunch,Dinner,Late-night",83.07,4.3,6.4,Thai,4,0,4,5,2,3,1,3,5,2,5,5
2,2,5,4,4,4,"Lunch,Late-night,Breakfast",58.67,13.1,6.2,"Japanese,Thai",2,1,4,4,3,4,2,3,5,4,4,3
4,3,1,1,4,1,"Lunch,Dinner,Breakfast",86.83,9.6,5.0,"Thai,Mediterranean,Indian,Other",2,0,5,5,3,4,2,1,4,2,8,3
3,4,5,2,3,1,"Breakfast,Late-night",22.28,9.2,3.5,Thai,3,0,4,5,3,3,0,4,4,4,7,4
2,1,4,1,3,3,"Lunch,Late-night,Dinner",38.88,12.0,8.9,"Japanese,Mediterranean",3,0,3,3,1,1,0,1,2,5,6,5
4,4,3,1,4,3,"Dinner,Breakfast",82.77,11.8,5.8,"Japanese,Mexican",1,0,5,5,4,4,2,2,4,2,5,5
3,4,6,4,3,3,"Dinner,Lunch,Breakfast",61.83,11.7,6.4,Indian,3,0,4,3,4,4,0,1,4,4,7,3
3,2,1,1,2,4,"Late-night,Dinner",91.96,8.8,2.3,"Japanese,Mexican,Other",4,0,3,3,2,3,1,3,5,3,6,5
3,2,3,1,4,26,Lunch,261.52,0.0,21.2,"Mexican,Thai",2,0,5,4,4,3,2,4,4,3,4,3
3,3,3,3,5,2,"Dinner,Breakfast",66.32,15.1,6.6,"Thai,Indian,Japanese",4,0,5,4,3,4,2,1,2,3,5,5
4,1,5,1,2,3,"Dinner,Breakfast",33.76,12.4,6.4,Other,2,0,2,2,3,1,1,1,2,4,8,4
3,1,5,4,4,6,Dinner,80.12,10.4,3.3,"Japanese,Other,Mediterranean",1,0,4,2,1,2,2,4,4,1,5,5
4,3,1,2,2,1,"Lunch,Late-night",74.2,9.1,5.7,"Indian,Japanese",3,0,1,3,1,1,1,4,3,3,8,4
1,2,2,2,4,3,"Lunch,Breakfast",56.02,19.3,7.5,"Other,Indian,Thai",2,0,5,5,3,2,2,2,4,1,7,4
4,3,1,3,4,4,"Dinner,Breakfast",72.38,14.2,6.8,Mediterranean,2,1,4,4,5,2,2,2,4,1,8,5
2,3,3,1,3,5,"Dinner,Breakfast,Lunch",59.79,7.9,4.7,"Other,Mexican",1,0,2,5,3,4,0,2,3,3,7,4
2,2,1,2,3,3,Late-night,33.73,6.8,6.9,"Mexican,Indian,Japanese",3,1,3,3,2,5,0,2,2,3,5,3
4,2,2,3,3,1,"Dinner,Lunch",178.54,10.1,8.3,"Japanese,Indian",1,1,2,4,3,4,0,3,4,5,6,2
1,2,1,1,3,7,"Breakfast,Lunch",19.79,16.9,8.1,"Other,Thai,Japanese,Mediterranean",1,0,4,5,4,2,2,1,4,5,8,5
5,4,1,2,4,4,"Late-night,Dinner,Breakfast",80.95,16.9,10.4,"Mediterranean,Mexican",2,0,5,3,4,4,1,2,2,2,5,5
